documentId,originaldocumentname,size,fileSize
bd8ab7e2-2d98-44d1-9002-f0867c800427,DELETE_EM_DMStore2MB.pdf,2007695,2MB
c89004e9-f368-41dd-9727-7f5455003e9c,DELETE_EM_DMStore2MB.pdf,2007695,2MB
1a6158c9-4d64-4dcf-a530-c7efbf2a8932,DELETE_EM_DMStore2MB.pdf,2007695,2MB
6be9691c-efbc-4753-8075-93be65f5e98c,DELETE_EM_DMStore2MB.pdf,2007695,2MB
ebeab982-43f9-4ba3-992c-728960c40208,DELETE_EM_DMStore2MB.pdf,2007695,2MB
16dab3b8-a94e-418a-ba03-bed066620bac,DELETE_EM_DMStore25MB.pdf,27105774,25MB
8dcb44b7-3f56-411a-8121-728529c7ef61,DELETE_EM_DMStore2MB.pdf,2007695,2MB
20466d9a-57cc-4824-b0ed-9418b85d28dc,DELETE_EM_DMStore2MB.pdf,2007695,2MB
4b1a5930-3b95-4b1c-ac9f-536bd493ac03,DELETE_EM_DMStore2MB.pdf,2007695,2MB
bd9021a9-4abf-4d34-a98b-7171be969e02,DELETE_EM_DMStore25MB.pdf,27105774,25MB
023d8b52-00eb-413c-a807-6538bb2244f6,DELETE_EM_DMStore2MB.pdf,2007695,2MB
a224e693-7b74-4bc8-a018-9ebe5e364dc9,DELETE_EM_DMStore2MB.pdf,2007695,2MB
d9682bd0-928f-4ad8-b7b5-da26f2a1cf37,DELETE_EM_DMStore2MB.pdf,2007695,2MB
260c6cef-c83a-4558-a63c-bedda4d50426,DELETE_EM_DMStore10MB.pdf,10674409,10MB
1dff58a7-7bc1-4312-bc2d-3bb7775fce22,DELETE_EM_DMStore5MB.pdf,5226575,5MB
2c07e599-f381-410a-b353-d0e7b0693b07,DELETE_EM_DMStore2MB.pdf,2007695,2MB
3d779618-03e6-48d4-b4d6-0417561df346,DELETE_EM_DMStore2MB.pdf,2007695,2MB
d6633153-2566-4386-9cba-a688b9b2ce67,DELETE_EM_DMStore2MB.pdf,2007695,2MB
2a54a41d-9aaa-438e-8b4e-1a48096ad9d3,DELETE_EM_DMStore2MB.pdf,2007695,2MB
17b02c5a-8c10-4637-8f95-a1dc14a3f4b7,DELETE_EM_DMStore2MB.pdf,2007695,2MB
51d08b34-c8b6-4810-8277-f21dc97e35ab,DELETE_EM_DMStore2MB.pdf,2007695,2MB
6ad1c74b-b934-4b59-9add-acda9d7a7298,DELETE_EM_DMStore2MB.pdf,2007695,2MB
5515a02d-7d37-44e8-aab0-565c3b5b1cce,DELETE_EM_DMStore2MB.pdf,2007695,2MB
381c4e55-20d7-4fbb-b156-65fd19c51017,DELETE_EM_DMStore2MB.pdf,2007695,2MB
6e45bb1f-775e-4315-af60-5859598c77c0,DELETE_EM_DMStore2MB.pdf,2007695,2MB
7dd27e9c-3e88-4a46-b2f3-eb6c62400ea4,DELETE_EM_DMStore2MB.pdf,2007695,2MB
537d7be4-1bf7-4f0c-b490-f791ad4f8b96,DELETE_EM_DMStore2MB.pdf,2007695,2MB
94c9fdab-22ef-4ce4-a8f3-5cbbf1c3f4e8,DELETE_EM_DMStore2MB.pdf,2007695,2MB
c8f563b8-d40c-4509-a8fd-55e54abc85dd,DELETE_EM_DMStore5MB.pdf,5226575,5MB
eecf224f-f125-4b75-b793-7aa8eb5146ad,DELETE_EM_DMStore10MB.pdf,10674409,10MB
56941d84-bf00-4c8f-9183-af85f18c5d89,DELETE_EM_DMStore10MB.pdf,10674409,10MB
886a5ec0-0eaf-4008-ab0b-e713d6da3d3d,DELETE_EM_DMStore2MB.pdf,2007695,2MB
4ac86e1f-a460-4022-9f3d-3ae0503f033f,DELETE_EM_DMStore5MB.pdf,5226575,5MB
